"Sensitivity of Report w.r.t. Material Indicator","Sensitivity of Report w.r.t. Position: Magnitude (/m)","Sensitivity of Report w.r.t. Position[0] (/m)","Sensitivity of Report w.r.t. Position[1] (/m)","Sensitivity of Report w.r.t. Position[2] (/m)","Report: Pressure Drop 1 (Pa)","Velocity: Magnitude (m/s)","Velocity[i] (m/s)","Velocity[j] (m/s)","Velocity[k] (m/s)","Material Indicator","Pressure (Pa)","Wall Shear Stress: Magnitude (Pa)","Wall Shear Stress[i] (Pa)","Wall Shear Stress[j] (Pa)","Wall Shear Stress[k] (Pa)","Topology Level Set","Position: Magnitude (m)","Position[X] (m)","Position[Y] (m)","Position[Z] (m)","X (m)","Y (m)","Z (m)"
0.0015000535640865564,2.80306129341771e-08,2.5105814741911182e-08,1.2466488182743835e-08,0,0.43906973541129179,0.00043969397227937534,-0.00039132279925979674,-0.00020049253362230957,0,0,4.4802029900936828,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,-1,0.026953663941236276,-0.02050000000550645,0.017499999989466747,0,-0.02050000000550645,0.017499999989466747,0
0.0015000475104898214,2.4809054658352879e-08,2.3114041503221686e-08,-9.0127841663098767e-09,0,0.43906973541129179,0.0004126306333851014,-0.00036415271461009979,-0.0001940537040354684,0,0,4.5089193697502044,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,-1,0.026879360116122557,-0.019500000007087369,0.018499999999345748,0,-0.019500000007087369,0.018499999999345748,0
0.0015000427374616265,6.5281356121593904e-08,8.4758730258438671e-09,-6.4728780565712334e-08,0,0.43906973541129179,0.00038834416872617696,-0.00033689438714645803,-0.00019316667749080807,0,0,4.5360909561556273,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,-1,0.026879360125513268,-0.018499999990737998,0.019500000028198124,0,-0.018499999990737998,0.019500000028198124,0
0.0015000388957560062,2.2916175981370029e-07,-5.0187552324000811e-08,-2.2359857278756888e-07,0,0.43906973541129179,0.00036703258674540822,-0.00030925610917620361,-0.00019767037883866578,0,0,4.5619823187956268,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,-1,0.026953663954080297,-0.017500000020404478,0.020499999995983679,0,-0.017500000020404478,0.020499999995983679,0
0.0015000356361269951,4.8726345431308748e-07,4.5081794994377658e-07,1.8490227126136896e-07,0,0.43906973541129179,0.0003493014746507556,-0.00028069462860003114,-0.00020789912377949804,0,0,4.5867286920323327,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,-1,0.027093394203710458,-0.016499960521756535,0.021489609402176844,0,-0.016499960521756535,0.021489609402176844,0
0.0015000354032963514,5.2531456968219037e-07,1.5453010255755191e-07,-5.0207155319131284e-07,0,0.43906973541129179,0.00034077412936828742,-0.0002538504486437887,-0.00022734765661880374,0,0,4.6108846470355047,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,-1,0.027313746631184455,-0.015500038675486869,0.022489765585504699,0,-0.015500038675486869,0.022489765585504699,0
0.0015000735875219107,4.3334665567615479e-07,4.1405103613968995e-07,1.2787127690516362e-07,0,0.43906973541129179,0.00051194829978021695,-0.00044553430052474141,-0.00025217107031494379,0,0,4.3948137929747482,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,-1,0.028151376522068054,-0.023500000002832967,0.015499999998519195,0,-0.023500000002832967,0.015499999998519195,0
0.0015000650892034173,2.224765294904875e-07,1.5644690590231635e-07,1.5817765900317127e-07,0,0.43906973541129179,0.00048293973234441416,-0.00042308616684749722,-0.00023287095245905221,0,0,4.4286373231535663,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,-1,0.027901612859644199,-0.022500000009007631,0.016499999992852094,0,-0.022500000009007631,0.016499999992852094,0
0.001500057871453464,1.7826819401889962e-08,1.6589708417034466e-08,6.5251103151882546e-09,0,0.43906973541129179,0.00045492169222491422,-0.00039906016900204122,-0.0002184141194447875,0,0,4.4604436662536804,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,-1,0.02772183255437996,-0.021500000012462259,0.017499999989634384,0,-0.021500000012462259,0.017499999989634384,0
0.001500051817856729,4.7536124274657824e-09,-3.5905078285682979e-09,3.1152984838610405e-09,0,0.43906973541129179,0.00042920001995447744,-0.00037470180541276932,-0.00020931128528900445,0,0,4.4904481315798979,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,-1,0.027613402546748975,-0.020500000005594918,0.018499999999443541,0,-0.020500000005594918,0.018499999999443541,0
